version,N,P,tiempo,speedup,eficiencia
ej3sec,512,1,,1.00000,1.00000
ej3sec,512,2,,1.00000,1.00000
ej3sec,512,4,,1.00000,1.00000
ej3sec,1024,1,,1.00000,1.00000
ej3sec,1024,2,,1.00000,1.00000
ej3sec,1024,4,,1.00000,1.00000
ej3sec,2048,1,,1.00000,1.00000
ej3sec,2048,2,,1.00000,1.00000
ej3sec,2048,4,,1.00000,1.00000
ej3p,512,1,,,
ej3p,512,2,,,
ej3p,512,4,,,
ej3p,1024,1,,,
ej3p,1024,2,,,
ej3p,1024,4,,,
ej3p,2048,1,,,
ej3p,2048,2,,,
ej3p,2048,4,,,
