version,N,P,tiempo,speedup,eficiencia
ej3sec,1024,1,0.000460,1.00000,1.00000
ej3sec,32768,1,0.285963,1.00000,1.00000
ej3sec,262144,1,18.728459,1.00000,1.00000
ej3p,1024,1,0.000334,1.37724,1.37724
ej3p,1024,2,0.000284,1.61971,.80985
ej3p,1024,4,0.000229,2.00873,.50218
ej3p,32768,1,0.309414,.92420,.92420
ej3p,32768,2,0.162573,1.75898,.87949
ej3p,32768,4,0.116111,2.46284,.61571
ej3p,262144,1,19.739692,.94877,.94877
ej3p,262144,2,10.000115,1.87282,.93641
ej3p,262144,4,7.962898,2.35196,.58799
