version,N,P,tiempo,speedup,eficiencia
ej4sec,1024,1,0.000094,1.00000,1.00000
ej4sec,32768,1,0.003379,1.00000,1.00000
ej4sec,262144,1,0.027292,1.00000,1.00000
ej4sec,1048576,1,0.114583,1.00000,1.00000
ej4p,1024,1,0.000106,.88679,.88679
ej4p,1024,2,0.000168,.55952,.27976
ej4p,1024,4,0.000093,1.01075,.25268
ej4p,32768,1,0.002920,1.15719,1.15719
ej4p,32768,2,0.001656,2.04045,1.02022
ej4p,32768,4,0.001051,3.21503,.80375
ej4p,262144,1,0.025797,1.05795,1.05795
ej4p,262144,2,0.014761,1.84892,.92446
ej4p,262144,4,0.009376,2.91083,.72770
ej4p,1048576,1,0.107942,1.06152,1.06152
ej4p,1048576,2,0.061908,1.85085,.92542
ej4p,1048576,4,0.044873,2.55349,.63837
